yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56.0,18304.0,17,0,Izmir,Standard,0
46.0,67915.0,44,5,Adana,Standard,0
32.0,69384.0,28,1,Bursa,Basic,1
60.0,66005.0,30,3,Izmir,Premium,0
25.0,61576.0,29,4,Ankara,Basic,0
,54353.0,46,2,Adana,Basic,0
56.0,77003.0,6,3,Adana,Premium,0
36.0,32675.0,35,2,Izmir,Premium,0
40.0,67733.0,41,1,Izmir,Premium,0
28.0,59417.0,37,4,Bursa,Premium,0
28.0,38938.0,24,1,Istanbul,Standard,0
41.0,38664.0,29,3,Izmir,Standard,1
53.0,,46,1,Izmir,Basic,0
57.0,35080.0,31,1,Ankara,Standard,0
41.0,75343.0,35,3,Adana,Basic,0
20.0,42728.0,33,0,Istanbul,Basic,0
39.0,64850.0,21,1,Ankara,Standard,0
19.0,41736.0,32,1,Bursa,Standard,0
41.0,43673.0,23,0,Bursa,Basic,0
61.0,52505.0,33,1,Izmir,Basic,0
47.0,62323.0,3,2,Izmir,Standard,1
55.0,61645.0,18,0,Bursa,Basic,0
19.0,15854.0,25,3,Izmir,Premium,1
38.0,39548.0,42,4,,Standard,0
50.0,53623.0,31,4,Izmir,Standard,0
29.0,22392.0,3,1,Adana,Standard,0
39.0,70680.0,40,1,Izmir,Premium,0
61.0,75818.0,46,0,Ankara,Basic,1
42.0,61717.0,24,0,Istanbul,Standard,1
44.0,69401.0,32,4,Ankara,Standard,1
59.0,36556.0,47,2,Ankara,Basic,0
45.0,65859.0,22,1,Adana,Premium,0
33.0,75121.0,23,1,Istanbul,Standard,0
32.0,53559.0,2,3,Istanbul,Standard,0
64.0,41309.0,27,4,Istanbul,Premium,0
61.0,36919.0,42,4,Istanbul,Premium,0
20.0,78734.0,2,3,Istanbul,Standard,1
,19931.0,26,2,Adana,Premium,1
24.0,67662.0,17,2,Izmir,Standard,0
38.0,47970.0,40,0,Ankara,Standard,0
26.0,59215.0,33,4,Istanbul,Standard,0
