musteri_id,yas,aylik_gelir_TL,calisma_suresi_yil,kredi_tutari_TL,kredi_vadesi_ay,kredi_gecmisi_ay,mevcut_borc_TL,aylik_gider_TL,ev_sahipligi,calisma_durumu,kredi_amaci,odeme_gecmisi,onceki_takip_sayisi,kredi_riski
M00001,59,50216.0,13.2,58922,36,475,49738.0,10266,Ev Sahibi,Serbest,Arac,Iyi,0,Risksiz
M00002,49,82357.0,17.2,74302,36,207,0.0,11631,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00003,35,60680.0,4.8,16713,24,219,57621.0,18823,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Risksiz
M00004,63,39132.0,14.5,82260,48,443,50203.0,5000,Aile Yaninda,Yari Zamanli,Isletme,Kotu,0,Riskli
M00005,28,66622.0,6.8,39119,72,66,21724.0,31388,Ev Sahibi,Tam Zamanli,Isletme,Kotu,1,Riskli
M00006,41,37655.0,8.1,29420,36,239,39781.0,21534,Ev Sahibi,Serbest,Ev,Iyi,0,Risksiz
M00007,59,15000.0,24.2,24329,36,383,30057.0,27816,Kira,Yari Zamanli,Arac,Orta,0,Riskli
M00008,39,26854.0,10.4,103381,36,273,52140.0,5355,Ev Sahibi,Yari Zamanli,Arac,Iyi,0,Riskli
M00009,43,15000.0,11.7,51122,24,191,47688.0,27957,Kira,Issiz,Tuketici,Iyi,0,Riskli
M00010,31,38673.0,9.2,116012,60,164,4799.0,35852,Kira,Tam Zamanli,Tatil,Iyi,0,Risksiz
M00011,31,45332.0,3.4,53926,36,136,40571.0,7433,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00012,44,75176.0,16.8,18779,36,167,26299.0,24171,Kira,Serbest,Tuketici,Kotu,0,Riskli
M00013,56,50885.0,31.6,36504,48,523,31491.0,18009,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Risksiz
M00014,60,41056.0,25.4,107074,36,424,16893.0,5645,Kira,Serbest,Tuketici,Iyi,0,Risksiz
M00015,44,59929.0,20.7,65323,48,217,61466.0,21943,Ev Sahibi,Issiz,Tuketici,Iyi,0,Risksiz
M00016,23,15000.0,1.0,53551,12,49,48721.0,24669,Ev Sahibi,Yari Zamanli,Tatil,Iyi,1,Riskli
M00017,42,49241.0,12.1,74801,60,309,16684.0,13191,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00018,22,58876.0,0.9,85053,72,34,5977.0,27327,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00019,44,18385.0,17.7,103522,48,196,23058.0,5000,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00020,64,65588.0,39.1,113455,72,323,37821.0,6042,Kira,Tam Zamanli,Egitim,Iyi,0,Risksiz
M00021,50,51093.0,13.6,59207,24,268,34324.0,19093,Kira,Yari Zamanli,Egitim,Kotu,0,Riskli
M00022,58,37525.0,26.3,30219,36,490,52556.0,18203,Aile Yaninda,Serbest,Ev,Orta,0,Riskli
M00023,22,56390.0,0.8,57596,48,39,44219.0,12267,Kira,Yari Zamanli,Isletme,Iyi,1,Risksiz
M00024,41,85872.0,13.4,77808,48,180,47452.0,24477,Kira,Tam Zamanli,Ev,Orta,0,Risksiz
M00025,53,48274.0,19.1,41087,36,257,35883.0,22247,Aile Yaninda,Tam Zamanli,Tuketici,Orta,0,Risksiz
M00026,32,49468.0,10.6,41285,36,121,4993.0,24865,Kira,Serbest,Egitim,Iyi,0,Riskli
M00027,42,36732.0,14.6,80314,24,324,26477.0,17015,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00028,64,29703.0,22.4,68540,36,402,49082.0,22821,Kira,Tam Zamanli,Isletme,Kotu,0,Riskli
M00029,45,59946.0,9.2,70984,24,375,29073.0,14435,Kira,Serbest,Tuketici,Iyi,0,Riskli
M00030,47,29590.0,10.6,47245,48,287,39056.0,34431,Kira,Yari Zamanli,Egitim,Iyi,0,Risksiz
M00031,62,46288.0,18.3,63088,24,327,24263.0,11500,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00032,48,36402.0,12.6,42273,12,394,11463.0,34842,Kira,Serbest,Ev,Orta,0,Risksiz
M00033,36,53622.0,13.0,96706,36,174,27780.0,18279,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00034,35,51006.0,9.6,101057,48,199,35563.0,6996,Ev Sahibi,Issiz,Arac,Kotu,1,Riskli
M00035,64,63676.0,27.0,14614,60,638,18198.0,28945,Aile Yaninda,Tam Zamanli,Egitim,Iyi,0,Riskli
M00036,23,35820.0,1.1,42115,48,32,25757.0,19007,Kira,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00037,57,40142.0,30.2,25104,36,264,13090.0,24809,Ev Sahibi,Serbest,Tatil,Orta,1,Risksiz
M00038,27,27382.0,5.1,50499,60,106,50146.0,27791,Ev Sahibi,Tam Zamanli,Tuketici,Orta,0,Risksiz
M00039,41,37003.0,7.2,67497,36,190,24700.0,20704,Aile Yaninda,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00040,29,51791.0,6.5,26511,12,82,56150.0,13262,Kira,Serbest,Egitim,Iyi,0,Risksiz
M00041,59,58626.0,24.4,42344,48,259,57517.0,25806,Ev Sahibi,Serbest,Tuketici,Iyi,0,Risksiz
M00042,38,28401.0,6.3,39881,60,123,28541.0,18006,Ev Sahibi,Issiz,Egitim,Orta,2,Riskli
M00043,24,60653.0,2.3,76218,36,73,11848.0,23487,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00044,45,69401.0,14.8,72080,36,191,0.0,5000,Aile Yaninda,Yari Zamanli,Arac,Orta,0,Risksiz
M00045,34,52442.0,5.6,48348,24,156,3503.0,21576,Kira,Tam Zamanli,Ev,Kotu,0,Riskli
M00046,29,78782.0,7.8,75305,24,119,5271.0,12891,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,1,Risksiz
M00047,46,31072.0,21.1,53600,36,264,54812.0,31226,Aile Yaninda,Serbest,Tatil,Kotu,0,Riskli
M00048,22,22596.0,1.4,61850,48,25,32085.0,22985,Ev Sahibi,Tam Zamanli,Tuketici,Orta,0,Riskli
M00049,40,15000.0,11.5,120204,24,270,37013.0,19919,Kira,Tam Zamanli,Isletme,Iyi,1,Riskli
M00050,48,71929.0,15.3,110214,60,183,0.0,21890,Kira,Tam Zamanli,Ev,Kotu,0,Risksiz
M00051,27,56779.0,4.8,31013,48,109,8437.0,10012,Aile Yaninda,Yari Zamanli,Egitim,Iyi,0,Risksiz
M00052,64,43999.0,27.6,94892,48,605,45967.0,30986,Kira,Issiz,Arac,Kotu,0,Riskli
M00053,28,50039.0,2.7,94342,60,95,35162.0,33931,Kira,Tam Zamanli,Tuketici,Kotu,1,Riskli
M00054,55,24741.0,21.3,35552,24,381,27350.0,21143,Ev Sahibi,Tam Zamanli,Tuketici,Orta,0,Risksiz
M00055,34,89024.0,11.0,94563,36,157,40167.0,30723,Ev Sahibi,Serbest,Arac,Iyi,0,Riskli
M00056,37,47326.0,9.8,116138,48,173,59444.0,13447,Kira,Tam Zamanli,Tatil,Iyi,1,Riskli
M00057,56,46969.0,11.9,36324,60,498,26021.0,11623,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00058,60,58064.0,30.9,42475,60,552,31249.0,18327,Kira,Tam Zamanli,Ev,Iyi,0,Risksiz
M00059,24,53658.0,1.7,100530,36,52,33467.0,21480,Ev Sahibi,Tam Zamanli,Tuketici,Orta,0,Riskli
M00060,22,49030.0,0.9,78145,72,44,73058.0,14848,Ev Sahibi,Tam Zamanli,Tatil,Orta,0,Riskli
M00061,26,30771.0,2.4,86544,24,107,0.0,22302,Ev Sahibi,Serbest,Isletme,Kotu,1,Riskli
M00062,62,53486.0,20.9,80218,60,603,42298.0,20451,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Risksiz
M00063,24,78876.0,3.0,81721,72,60,27934.0,10014,Aile Yaninda,Issiz,Ev,Orta,1,Riskli
M00064,49,69218.0,,30206,24,298,40202.0,22150,Ev Sahibi,Serbest,Egitim,Kotu,0,Riskli
M00065,38,73677.0,7.6,101420,48,165,18167.0,24908,Kira,Yari Zamanli,Ev,Orta,0,Riskli
M00066,46,35798.0,21.5,105088,12,383,29119.0,19372,Ev Sahibi,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00067,64,27187.0,36.4,63118,36,329,42805.0,27221,Kira,Tam Zamanli,Ev,Iyi,0,Riskli
M00068,54,42736.0,28.0,68696,36,383,86032.0,8261,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
